transaction_id,amount,currency,customer_id,created_at,status,gl_account,posted_at,ledger_entry_id
TXN-F6ACE7CA,980.23,EUR,CUST-9099,2024-07-23 07:09:00,settled,2011-CUST-FUNDS-EUR,2024-07-24 07:09:00,GL-3A5AC956
TXN-D64D5AB7,4464.37,USD,CUST-7965,2024-04-22 05:51:00,failed,2011-CUST-FUNDS-EUR,2024-04-23 05:51:00,GL-D116460D
TXN-969800BB,2328.1,GBP,CUST-5082,2024-03-03 14:08:00,refunded,2011-CUST-FUNDS-EUR,2024-03-04 14:08:00,GL-190517DE
TXN-1D306179,3341.21,GBP,CUST-6198,2024-08-14 19:52:00,failed,2011-CUST-FUNDS-EUR,2024-08-15 19:52:00,GL-99A05E7A
TXN-D32C581D,2139.44,GBP,CUST-8305,2024-03-22 23:55:00,refunded,2011-CUST-FUNDS-EUR,2024-03-23 23:55:00,GL-BCD9ED7F
TXN-24AE4028,2255.85,USD,CUST-5543,2024-09-23 15:40:00,settled,2011-CUST-FUNDS-EUR,2024-09-24 15:40:00,GL-A60FEE97
TXN-7590110C,1380.24,USD,CUST-5681,2024-04-30 08:21:00,settled,2011-CUST-FUNDS-EUR,2024-05-01 08:21:00,GL-02C0F227
TXN-85F41EEC,4466.2,USD,CUST-3267,2024-03-18 07:24:00,settled,2011-CUST-FUNDS-EUR,2024-03-19 07:24:00,GL-600705CE
TXN-EB83578C,3535.03,USD,CUST-7797,2024-07-27 10:34:00,refunded,2011-CUST-FUNDS-EUR,2024-07-28 10:34:00,GL-D71A71E1
TXN-AE179E96,2084.71,USD,CUST-7883,2024-07-18 18:44:00,settled,2011-CUST-FUNDS-EUR,2024-07-19 18:44:00,GL-917ADAC2
TXN-09C6C398,4285.09,GBP,CUST-7232,2024-09-01 00:22:00,settled,2011-CUST-FUNDS-EUR,2024-09-02 00:22:00,GL-71BE5FB7
TXN-C621D842,3769.84,EUR,CUST-9818,2024-10-06 19:57:00,settled,2011-CUST-FUNDS-EUR,2024-10-07 19:57:00,GL-60785A36
TXN-46A6DA89,2446.27,USD,CUST-8140,2024-09-05 00:24:00,settled,2011-CUST-FUNDS-EUR,2024-09-06 00:24:00,GL-D5374D0B
TXN-D05701A4,3347.68,EUR,CUST-3704,2024-08-27 04:39:00,failed,2011-CUST-FUNDS-EUR,2024-08-28 04:39:00,GL-EA8F4BDF
TXN-EBB27F1C,144.56,EUR,CUST-1444,2024-02-12 20:27:00,settled,2011-CUST-FUNDS-EUR,2024-02-13 20:27:00,GL-1DC73C8C
TXN-71743D08,4335.59,USD,CUST-1823,2024-05-13 12:20:00,settled,2011-CUST-FUNDS-EUR,2024-05-14 12:20:00,GL-CBE8421E
TXN-E8ABF38C,2278.95,USD,CUST-7211,2024-05-22 13:16:00,settled,2011-CUST-FUNDS-EUR,2024-05-23 13:16:00,GL-AEF4E5DA
TXN-105E5BE1,2356.83,GBP,CUST-1853,2024-06-28 07:41:00,settled,2011-CUST-FUNDS-EUR,2024-06-29 07:41:00,GL-A49A2635
TXN-CBF633FA,3908.35,USD,CUST-1508,2024-05-06 06:53:00,settled,2011-CUST-FUNDS-EUR,2024-05-07 06:53:00,GL-FC14D669
TXN-67FF0A8E,3110.46,USD,CUST-3068,2024-08-30 21:07:00,failed,2011-CUST-FUNDS-EUR,2024-08-31 21:07:00,GL-A08EFA6F
TXN-B5D77932,4739.31,EUR,CUST-5198,2024-07-07 05:38:00,failed,2011-CUST-FUNDS-EUR,2024-07-08 05:38:00,GL-C6AE53D3
TXN-22233DA4,4819.04,USD,CUST-3683,2024-06-08 03:37:00,settled,2011-CUST-FUNDS-EUR,2024-06-09 03:37:00,GL-C34772C3
TXN-E16CC979,4645.15,GBP,CUST-7149,2024-07-22 22:12:00,settled,2011-CUST-FUNDS-EUR,2024-07-23 22:12:00,GL-795E3432
TXN-8A4C85A9,2964.57,USD,CUST-2669,2024-12-22 09:54:00,failed,2011-CUST-FUNDS-EUR,2024-12-23 09:54:00,GL-8AD23AD9
TXN-4259C8F5,4029.58,GBP,CUST-1672,2024-06-26 17:27:00,settled,2011-CUST-FUNDS-EUR,2024-06-27 17:27:00,GL-400A1710
TXN-D1668FDB,354.09,USD,CUST-1207,2024-08-03 15:06:00,refunded,2011-CUST-FUNDS-EUR,2024-08-04 15:06:00,GL-0B88D0B4
TXN-EC674F0C,4804.33,EUR,CUST-3506,2024-08-10 05:46:00,failed,2011-CUST-FUNDS-EUR,2024-08-11 05:46:00,GL-E42FCA84
TXN-2C804EA3,4827.71,USD,CUST-9817,2024-09-04 14:27:00,failed,2011-CUST-FUNDS-EUR,2024-09-05 14:27:00,GL-ECD6E150
TXN-A912AD0A,1349.29,USD,CUST-2419,2024-05-22 14:15:00,refunded,2011-CUST-FUNDS-EUR,2024-05-23 14:15:00,GL-96D3F32B
TXN-B0C13B24,2853.55,EUR,CUST-6511,2024-01-15 15:54:00,settled,2011-CUST-FUNDS-EUR,2024-01-16 15:54:00,GL-5D6F9D5A
TXN-19F91430,3508.91,USD,CUST-1166,2024-09-21 06:05:00,settled,2011-CUST-FUNDS-EUR,2024-09-22 06:05:00,GL-A92A46FB
TXN-47C3E3DB,3603.17,EUR,CUST-4937,2024-12-19 15:41:00,refunded,2011-CUST-FUNDS-EUR,2024-12-20 15:41:00,GL-DCD84017
TXN-34841533,2246.39,USD,CUST-2524,2024-05-30 07:25:00,settled,2011-CUST-FUNDS-EUR,2024-05-31 07:25:00,GL-C1F5F64E
TXN-4FAA78EB,1537.97,GBP,CUST-7046,2024-08-30 17:33:00,settled,2011-CUST-FUNDS-EUR,2024-08-31 17:33:00,GL-82E3CFF1
TXN-5626C9F8,2133.26,GBP,CUST-6419,2024-06-29 22:29:00,settled,2011-CUST-FUNDS-EUR,2024-06-30 22:29:00,GL-B627E13A
TXN-9B47C61F,1540.05,USD,CUST-2976,2024-04-08 10:07:00,failed,2011-CUST-FUNDS-EUR,2024-04-09 10:07:00,GL-10A78D32
TXN-FDDCB8DE,4754.88,USD,CUST-4138,2024-04-20 23:30:00,settled,2011-CUST-FUNDS-EUR,2024-04-21 23:30:00,GL-C396B6BB
TXN-9344EBCD,3625.68,GBP,CUST-5636,2024-02-21 06:18:00,settled,2011-CUST-FUNDS-EUR,2024-02-22 06:18:00,GL-5ECFDC4A
TXN-27A8D693,1810.8,USD,CUST-1231,2024-12-28 17:08:00,settled,2011-CUST-FUNDS-EUR,2024-12-29 17:08:00,GL-DFA17B16
TXN-65052B90,237.12,USD,CUST-5786,2024-12-23 04:40:00,refunded,2011-CUST-FUNDS-EUR,2024-12-24 04:40:00,GL-A2CE2EB7
TXN-8C3CE947,521.91,USD,CUST-5658,2024-08-28 15:28:00,settled,2011-CUST-FUNDS-EUR,2024-08-29 15:28:00,GL-3DFF571F
TXN-D2DF1B55,929.97,USD,CUST-5136,2024-09-01 03:52:00,settled,2011-CUST-FUNDS-EUR,2024-09-02 03:52:00,GL-7DD950EB
TXN-17C75E4B,2009.53,USD,CUST-1878,2024-03-18 04:51:00,failed,2011-CUST-FUNDS-EUR,2024-03-19 04:51:00,GL-F63E01AE
TXN-EBF88972,4746.14,USD,CUST-5066,2024-03-01 17:48:00,refunded,2011-CUST-FUNDS-EUR,2024-03-02 17:48:00,GL-B8BE1533
TXN-875DAEDE,3035.53,GBP,CUST-4697,2024-09-24 12:28:00,refunded,2011-CUST-FUNDS-EUR,2024-09-25 12:28:00,GL-062AAFCE
TXN-C9BC051B,1493.79,GBP,CUST-8025,2024-06-05 18:39:00,settled,2011-CUST-FUNDS-EUR,2024-06-06 18:39:00,GL-15B543C2
TXN-384C23D4,793.71,USD,CUST-2229,2024-03-21 00:26:00,refunded,2011-CUST-FUNDS-EUR,2024-03-22 00:26:00,GL-5DE540EC
TXN-0072E3C0,3449.96,EUR,CUST-5771,2024-01-17 07:18:00,settled,2011-CUST-FUNDS-EUR,2024-01-18 07:18:00,GL-C30AE5FA
TXN-E82B3F40,3517.91,EUR,CUST-2166,2024-12-17 07:59:00,settled,2011-CUST-FUNDS-EUR,2024-12-18 07:59:00,GL-1BFB2871
TXN-32330FBE,3941.26,GBP,CUST-4241,2024-08-05 03:34:00,settled,2011-CUST-FUNDS-EUR,2024-08-06 03:34:00,GL-7C39C9F2
TXN-1FC856AA,3241.7,USD,CUST-3330,2024-02-06 01:10:00,settled,2011-CUST-FUNDS-EUR,2024-02-07 01:10:00,GL-29B45764
TXN-DAA6ADAC,2979.27,GBP,CUST-5728,2024-08-12 03:29:00,settled,2011-CUST-FUNDS-EUR,2024-08-13 03:29:00,GL-635CA25E
TXN-BD696252,3501.67,USD,CUST-9199,2024-10-03 15:28:00,settled,2011-CUST-FUNDS-EUR,2024-10-04 15:28:00,GL-2B3A7C55
TXN-595FDF86,2994.2,EUR,CUST-6280,2024-11-05 08:01:00,settled,2011-CUST-FUNDS-EUR,2024-11-06 08:01:00,GL-FBB7938A
TXN-D8A26980,1152.33,GBP,CUST-1339,2024-12-10 08:36:00,settled,2011-CUST-FUNDS-EUR,2024-12-11 08:36:00,GL-2A5E605A
TXN-3660322B,3817.91,USD,CUST-8708,2024-09-22 20:28:00,settled,2011-CUST-FUNDS-EUR,2024-09-23 20:28:00,GL-92999D96
TXN-51890AE9,915.63,GBP,CUST-8141,2024-11-21 15:05:00,refunded,2011-CUST-FUNDS-EUR,2024-11-22 15:05:00,GL-E1439016
TXN-26CA7E96,1746.33,USD,CUST-6260,2024-12-09 03:54:00,settled,2011-CUST-FUNDS-EUR,2024-12-10 03:54:00,GL-6D55C15C
TXN-E080AD21,1655.72,EUR,CUST-5722,2024-12-05 12:52:00,failed,2011-CUST-FUNDS-EUR,2024-12-06 12:52:00,GL-4D562082
TXN-B6A8E834,193.12,USD,CUST-6153,2024-05-09 10:07:00,refunded,2011-CUST-FUNDS-EUR,2024-05-10 10:07:00,GL-BE14D976
TXN-3BA222D3,4325.9,USD,CUST-9889,2024-08-24 13:03:00,settled,2011-CUST-FUNDS-EUR,2024-08-25 13:03:00,GL-F3DF451A
TXN-7B572CB7,2597.01,GBP,CUST-9167,2024-11-16 14:48:00,settled,2011-CUST-FUNDS-EUR,2024-11-17 14:48:00,GL-B5D10516
TXN-5A94C804,1025.76,GBP,CUST-3146,2024-05-27 14:56:00,refunded,2011-CUST-FUNDS-EUR,2024-05-28 14:56:00,GL-7BBFC4DC
TXN-4E38056B,615.92,GBP,CUST-4920,2024-12-29 05:19:00,failed,2011-CUST-FUNDS-EUR,2024-12-30 05:19:00,GL-3875CC3C
TXN-B7DC5F28,78.24,EUR,CUST-2527,2024-04-25 03:29:00,settled,2011-CUST-FUNDS-EUR,2024-04-26 03:29:00,GL-EE7A4EF9
TXN-DF5F243E,3242.07,USD,CUST-9165,2024-05-29 16:45:00,settled,2011-CUST-FUNDS-EUR,2024-05-30 16:45:00,GL-7C1098F8
TXN-6ECC67BC,2083.3,EUR,CUST-8736,2024-05-04 14:35:00,settled,2011-CUST-FUNDS-EUR,2024-05-05 14:35:00,GL-3409425E
TXN-36A9BB35,1924.09,GBP,CUST-9327,2024-03-10 02:17:00,refunded,2011-CUST-FUNDS-EUR,2024-03-11 02:17:00,GL-344F0F3A
TXN-F5E102E8,1705.98,GBP,CUST-5377,2024-01-02 09:46:00,settled,2011-CUST-FUNDS-EUR,2024-01-03 09:46:00,GL-F9D2345B
TXN-91CDC4DF,4189.0,GBP,CUST-9022,2024-03-17 14:34:00,refunded,2011-CUST-FUNDS-EUR,2024-03-18 14:34:00,GL-9987BCBA
TXN-504F04D7,1732.17,GBP,CUST-9903,2024-07-12 14:59:00,settled,2011-CUST-FUNDS-EUR,2024-07-13 14:59:00,GL-72976C12
TXN-49B94B6F,4349.31,USD,CUST-7274,2024-04-29 13:02:00,settled,2011-CUST-FUNDS-EUR,2024-04-30 13:02:00,GL-9D085613
TXN-B2EC1B82,3726.08,EUR,CUST-7325,2024-12-05 20:09:00,refunded,2011-CUST-FUNDS-EUR,2024-12-06 20:09:00,GL-CD45E45D
TXN-256AE401,4824.47,USD,CUST-9229,2024-10-29 10:55:00,settled,2011-CUST-FUNDS-EUR,2024-10-30 10:55:00,GL-EA43D5A8
TXN-BA20BC5B,4372.21,EUR,CUST-2633,2024-09-26 14:00:00,settled,2011-CUST-FUNDS-EUR,2024-09-27 14:00:00,GL-70A6EC5D
TXN-96A5AB5D,2055.79,USD,CUST-2225,2024-08-28 08:21:00,failed,2011-CUST-FUNDS-EUR,2024-08-29 08:21:00,GL-E588ED00
TXN-C74FA114,3466.6,USD,CUST-6383,2024-12-11 17:24:00,settled,2011-CUST-FUNDS-EUR,2024-12-12 17:24:00,GL-D3210432
TXN-C986597F,3137.73,EUR,CUST-9864,2024-01-19 19:04:00,settled,2011-CUST-FUNDS-EUR,2024-01-20 19:04:00,GL-7685AFD6
TXN-2B6ADABA,3159.49,USD,CUST-4727,2024-02-16 13:06:00,settled,2011-CUST-FUNDS-EUR,2024-02-17 13:06:00,GL-35B7FC2F
TXN-78B661C7,2223.96,USD,CUST-1474,2024-01-24 10:50:00,settled,2011-CUST-FUNDS-EUR,2024-01-25 10:50:00,GL-5532F18E
TXN-4FEB5E19,1473.91,USD,CUST-8056,2024-03-15 07:33:00,refunded,2011-CUST-FUNDS-EUR,2024-03-16 07:33:00,GL-8469B31C
TXN-9C0CA76D,2833.98,USD,CUST-3785,2024-03-30 02:39:00,refunded,2011-CUST-FUNDS-EUR,2024-03-31 02:39:00,GL-95D13F11
TXN-176857BD,3102.35,USD,CUST-9153,2024-10-25 04:14:00,refunded,2011-CUST-FUNDS-EUR,2024-10-26 04:14:00,GL-60D4600A
TXN-D7F9C915,3193.14,EUR,CUST-5183,2024-12-07 00:57:00,refunded,2011-CUST-FUNDS-EUR,2024-12-08 00:57:00,GL-56DCBD85
TXN-BD28D2F0,4507.04,GBP,CUST-3588,2024-02-07 14:22:00,failed,2011-CUST-FUNDS-EUR,2024-02-08 14:22:00,GL-5696A4D9
TXN-0CE6DB68,1502.78,EUR,CUST-5097,2024-08-21 09:12:00,refunded,2011-CUST-FUNDS-EUR,2024-08-22 09:12:00,GL-CCA6C3BC
TXN-F49C98B5,4268.14,USD,CUST-4886,2024-07-14 18:22:00,failed,2011-CUST-FUNDS-EUR,2024-07-15 18:22:00,GL-A4D3DA78
TXN-C829B89C,1486.4,USD,CUST-1359,2024-12-03 12:17:00,settled,2011-CUST-FUNDS-EUR,2024-12-04 12:17:00,GL-00A82EBB
TXN-20F40972,2833.99,USD,CUST-9138,2024-05-26 07:38:00,settled,2011-CUST-FUNDS-EUR,2024-05-27 07:38:00,GL-A88A63BA
TXN-A7C3C95E,1102.83,USD,CUST-5106,2024-12-13 23:49:00,settled,2011-CUST-FUNDS-EUR,2024-12-14 23:49:00,GL-1DAAA64D
