transaction_id,amount,currency,customer_id,created_at,status,adyen_psp_reference,merchant_account,value_in_cents,booking_date
TXN-B9F4A3D5,3173.65,USD,CUST-5644,2024-09-07 09:53:00,refunded,ADYEN-892110,MerchantAccountUSD,317365,2024-09-08 09:53:00
TXN-DBAEF0D8,972.36,GBP,CUST-8495,2024-05-09 11:29:00,failed,ADYEN-291972,MerchantAccountUSD,97236,2024-05-10 11:29:00
TXN-3C0915EE,1752.12,GBP,CUST-5350,2024-11-21 20:32:00,settled,ADYEN-201542,MerchantAccountUSD,175212,2024-11-22 20:32:00
TXN-D7D8FD33,2503.88,USD,CUST-4293,2024-03-12 12:33:00,settled,ADYEN-159404,MerchantAccountUSD,250388,2024-03-13 12:33:00
TXN-07A36568,143.29,GBP,CUST-9767,2024-01-30 11:05:00,failed,ADYEN-342124,MerchantAccountUSD,14329,2024-01-31 11:05:00
TXN-DCEFACC4,643.62,EUR,CUST-5423,2024-09-01 07:09:00,settled,ADYEN-615989,MerchantAccountUSD,64362,2024-09-02 07:09:00
TXN-329AC03A,1613.51,USD,CUST-6814,2024-07-23 16:27:00,failed,ADYEN-723344,MerchantAccountUSD,161351,2024-07-24 16:27:00
TXN-2799BDB0,588.51,EUR,CUST-7597,2024-02-23 04:58:00,settled,ADYEN-885972,MerchantAccountUSD,58851,2024-02-24 04:58:00
TXN-F372F4DF,3091.64,USD,CUST-4671,2024-09-06 08:21:00,settled,ADYEN-698456,MerchantAccountUSD,309164,2024-09-07 08:21:00
TXN-3D0FDB54,4037.55,USD,CUST-7054,2024-10-16 15:04:00,settled,ADYEN-675655,MerchantAccountUSD,403755,2024-10-17 15:04:00
TXN-1107C6EA,3899.72,USD,CUST-1047,2024-10-22 04:08:00,settled,ADYEN-954659,MerchantAccountUSD,389972,2024-10-23 04:08:00
TXN-E82B3F40,3517.91,EUR,CUST-2166,2024-12-17 07:59:00,settled,ADYEN-295017,MerchantAccountUSD,351791,2024-12-18 07:59:00
TXN-73F38EEE,3429.98,GBP,CUST-8133,2024-11-29 11:11:00,settled,ADYEN-132155,MerchantAccountUSD,342998,2024-11-30 11:11:00
TXN-0FE4AEF6,2356.94,GBP,CUST-4366,2024-11-21 09:49:00,refunded,ADYEN-416922,MerchantAccountUSD,235694,2024-11-22 09:49:00
TXN-676FF010,1422.46,EUR,CUST-4800,2024-10-20 20:02:00,failed,ADYEN-773893,MerchantAccountUSD,142246,2024-10-21 20:02:00
TXN-D7979B5D,1962.55,USD,CUST-6027,2024-01-17 22:42:00,settled,ADYEN-663200,MerchantAccountUSD,196255,2024-01-18 22:42:00
TXN-DD5AAE81,2019.43,GBP,CUST-5520,2024-09-28 19:31:00,failed,ADYEN-567640,MerchantAccountUSD,201943,2024-09-29 19:31:00
TXN-8DABDB45,1650.21,USD,CUST-6321,2024-03-27 05:32:00,settled,ADYEN-690153,MerchantAccountUSD,165021,2024-03-28 05:32:00
TXN-E6C624FC,4302.29,USD,CUST-5721,2024-07-02 00:22:00,settled,ADYEN-851253,MerchantAccountUSD,430229,2024-07-03 00:22:00
TXN-87F31062,2432.76,EUR,CUST-9170,2024-08-22 14:29:00,settled,ADYEN-872982,MerchantAccountUSD,243276,2024-08-23 14:29:00
TXN-1E5BEBC2,759.57,USD,CUST-6087,2024-07-27 02:54:00,refunded,ADYEN-325348,MerchantAccountUSD,75957,2024-07-28 02:54:00
TXN-183640C1,444.27,GBP,CUST-7510,2024-10-09 10:54:00,settled,ADYEN-622596,MerchantAccountUSD,44427,2024-10-10 10:54:00
TXN-F788DD50,92.11,USD,CUST-2481,2024-12-23 11:38:00,settled,ADYEN-858160,MerchantAccountUSD,9211,2024-12-24 11:38:00
TXN-79CB097C,4630.67,USD,CUST-6825,2024-08-30 05:03:00,settled,ADYEN-148183,MerchantAccountUSD,463067,2024-08-31 05:03:00
TXN-3E76AEF9,147.29,EUR,CUST-2178,2024-09-14 14:53:00,settled,ADYEN-893349,MerchantAccountUSD,14729,2024-09-15 14:53:00
TXN-27B57684,553.65,USD,CUST-6446,2024-03-14 20:05:00,settled,ADYEN-197012,MerchantAccountUSD,55365,2024-03-15 20:05:00
TXN-E8AF28AD,3994.75,USD,CUST-6927,2024-05-12 11:26:00,failed,ADYEN-282906,MerchantAccountUSD,399475,2024-05-13 11:26:00
TXN-659B8C8A,262.09,EUR,CUST-8300,2024-10-31 18:32:00,settled,ADYEN-343006,MerchantAccountUSD,26208,2024-11-01 18:32:00
TXN-06A774EB,1027.75,GBP,CUST-8588,2024-06-25 00:34:00,settled,ADYEN-310642,MerchantAccountUSD,102775,2024-06-26 00:34:00
TXN-D7B4CF31,4253.86,GBP,CUST-8959,2024-04-23 02:06:00,refunded,ADYEN-451433,MerchantAccountUSD,425385,2024-04-24 02:06:00
TXN-CFB37E45,3787.89,GBP,CUST-8195,2024-03-08 14:28:00,refunded,ADYEN-909588,MerchantAccountUSD,378789,2024-03-09 14:28:00
TXN-53199F4D,3117.52,EUR,CUST-2574,2024-03-10 23:42:00,settled,ADYEN-569087,MerchantAccountUSD,311752,2024-03-11 23:42:00
TXN-11EA65C0,337.18,USD,CUST-7290,2024-04-03 19:49:00,settled,ADYEN-974003,MerchantAccountUSD,33718,2024-04-04 19:49:00
TXN-06F949A5,2534.71,GBP,CUST-4610,2024-10-13 03:39:00,failed,ADYEN-835682,MerchantAccountUSD,253471,2024-10-14 03:39:00
TXN-DC3A59CA,4884.23,GBP,CUST-2324,2024-10-26 07:20:00,settled,ADYEN-696510,MerchantAccountUSD,488422,2024-10-27 07:20:00
TXN-86F38621,542.11,USD,CUST-4342,2024-08-24 10:54:00,refunded,ADYEN-951289,MerchantAccountUSD,54211,2024-08-25 10:54:00
TXN-990632FD,2366.05,EUR,CUST-4234,2024-02-29 06:06:00,refunded,ADYEN-880869,MerchantAccountUSD,236605,2024-03-01 06:06:00
TXN-EF3E03BD,4549.64,EUR,CUST-8159,2024-08-01 18:22:00,settled,ADYEN-328303,MerchantAccountUSD,454964,2024-08-02 18:22:00
TXN-24B355BD,4082.91,USD,CUST-4032,2024-04-27 05:56:00,settled,ADYEN-876111,MerchantAccountUSD,408291,2024-04-28 05:56:00
TXN-EC551919,943.28,USD,CUST-8802,2024-12-04 16:28:00,settled,ADYEN-618333,MerchantAccountUSD,94328,2024-12-05 16:28:00
TXN-43DA1B5A,58.77,GBP,CUST-1773,2024-12-13 08:57:00,settled,ADYEN-760395,MerchantAccountUSD,5877,2024-12-14 08:57:00
TXN-D0EA5243,3658.07,USD,CUST-4823,2024-06-06 14:08:00,failed,ADYEN-594037,MerchantAccountUSD,365807,2024-06-07 14:08:00
TXN-922BEF73,3868.63,GBP,CUST-7654,2024-04-06 13:39:00,settled,ADYEN-842727,MerchantAccountUSD,386863,2024-04-07 13:39:00
TXN-401FC38D,1649.9,GBP,CUST-2817,2024-01-17 03:24:00,settled,ADYEN-872433,MerchantAccountUSD,164990,2024-01-18 03:24:00
TXN-7E540F0A,2064.56,GBP,CUST-8161,2024-07-21 07:10:00,refunded,ADYEN-463887,MerchantAccountUSD,206456,2024-07-22 07:10:00
TXN-DE56DC92,3558.58,USD,CUST-4688,2024-04-03 21:35:00,settled,ADYEN-726059,MerchantAccountUSD,355858,2024-04-04 21:35:00
TXN-72A27351,1080.71,GBP,CUST-5678,2024-12-21 15:12:00,settled,ADYEN-107172,MerchantAccountUSD,108071,2024-12-22 15:12:00
TXN-F22D4BBB,2735.03,USD,CUST-4847,2024-10-21 14:25:00,settled,ADYEN-184732,MerchantAccountUSD,273503,2024-10-22 14:25:00
TXN-59B6AB8A,2351.97,USD,CUST-5034,2024-07-14 07:21:00,failed,ADYEN-287409,MerchantAccountUSD,235196,2024-07-15 07:21:00
TXN-06B4D1D8,2537.13,EUR,CUST-9829,2024-08-14 08:19:00,settled,ADYEN-729512,MerchantAccountUSD,253713,2024-08-15 08:19:00
TXN-B55D80B7,3012.69,USD,CUST-8174,2024-08-18 19:28:00,failed,ADYEN-236145,MerchantAccountUSD,301269,2024-08-19 19:28:00
TXN-2F3E2736,1127.28,GBP,CUST-8154,2024-12-04 09:38:00,refunded,ADYEN-718299,MerchantAccountUSD,112728,2024-12-05 09:38:00
TXN-3C132154,4707.04,USD,CUST-8908,2024-05-24 12:37:00,settled,ADYEN-973358,MerchantAccountUSD,470704,2024-05-25 12:37:00
TXN-A345EA20,1896.21,EUR,CUST-7024,2024-11-21 02:09:00,refunded,ADYEN-813142,MerchantAccountUSD,189621,2024-11-22 02:09:00
TXN-504B82D7,1908.28,EUR,CUST-8185,2024-07-23 06:13:00,refunded,ADYEN-751176,MerchantAccountUSD,190828,2024-07-24 06:13:00
TXN-6A2E72BA,2659.08,GBP,CUST-2147,2024-09-11 08:44:00,settled,ADYEN-236090,MerchantAccountUSD,265908,2024-09-12 08:44:00
TXN-4D8ABDA9,1432.46,USD,CUST-5469,2024-08-18 16:09:00,refunded,ADYEN-749160,MerchantAccountUSD,143246,2024-08-19 16:09:00
TXN-72EAE81D,2399.32,USD,CUST-5812,2024-01-06 22:58:00,settled,ADYEN-262287,MerchantAccountUSD,239932,2024-01-07 22:58:00
TXN-50629303,3472.11,USD,CUST-9266,2024-09-12 02:55:00,refunded,ADYEN-125226,MerchantAccountUSD,347211,2024-09-13 02:55:00
TXN-9F2F8F18,2503.14,USD,CUST-2642,2024-01-04 04:48:00,settled,ADYEN-171227,MerchantAccountUSD,250314,2024-01-05 04:48:00
TXN-1087F78D,736.33,USD,CUST-6698,2024-06-29 05:54:00,failed,ADYEN-345756,MerchantAccountUSD,73633,2024-06-30 05:54:00
TXN-5D42FB90,1459.06,EUR,CUST-5470,2024-07-18 03:11:00,settled,ADYEN-319288,MerchantAccountUSD,145906,2024-07-19 03:11:00
TXN-82ECFACB,1931.39,USD,CUST-5412,2024-02-01 10:29:00,failed,ADYEN-565504,MerchantAccountUSD,193139,2024-02-02 10:29:00
TXN-C311A6DD,2070.66,USD,CUST-7443,2024-10-02 04:18:00,failed,ADYEN-115190,MerchantAccountUSD,207066,2024-10-03 04:18:00
TXN-AA341625,3949.1,USD,CUST-7089,2024-10-10 04:14:00,settled,ADYEN-880339,MerchantAccountUSD,394910,2024-10-11 04:14:00
TXN-6C6B0933,718.52,EUR,CUST-9826,2024-06-19 08:54:00,failed,ADYEN-399690,MerchantAccountUSD,71852,2024-06-20 08:54:00
TXN-F96F26A2,2560.77,USD,CUST-6460,2024-11-26 05:32:00,failed,ADYEN-436696,MerchantAccountUSD,256077,2024-11-27 05:32:00
TXN-87F12024,2136.17,USD,CUST-9515,2024-01-13 10:35:00,refunded,ADYEN-597338,MerchantAccountUSD,213617,2024-01-14 10:35:00
TXN-70EB1187,2126.51,GBP,CUST-6845,2024-09-24 21:58:00,refunded,ADYEN-380103,MerchantAccountUSD,212651,2024-09-25 21:58:00
TXN-A1D26467,3683.19,USD,CUST-4872,2024-08-13 18:37:00,failed,ADYEN-848126,MerchantAccountUSD,368319,2024-08-14 18:37:00
TXN-B978A8E7,3887.91,USD,CUST-7490,2024-03-06 03:42:00,settled,ADYEN-107385,MerchantAccountUSD,388791,2024-03-07 03:42:00
TXN-34162252,3010.76,EUR,CUST-3892,2024-06-17 16:30:00,failed,ADYEN-794221,MerchantAccountUSD,301076,2024-06-18 16:30:00
TXN-91D3C5FC,828.49,USD,CUST-5924,2024-11-01 22:33:00,settled,ADYEN-679158,MerchantAccountUSD,82849,2024-11-02 22:33:00
TXN-EF280390,391.53,USD,CUST-8796,2024-07-29 05:11:00,refunded,ADYEN-437486,MerchantAccountUSD,39153,2024-07-30 05:11:00
TXN-B540A8E4,3649.55,GBP,CUST-8913,2024-01-13 19:46:00,settled,ADYEN-151757,MerchantAccountUSD,364955,2024-01-14 19:46:00
TXN-C56ABF5A,3484.6,EUR,CUST-1625,2024-07-15 08:36:00,settled,ADYEN-859271,MerchantAccountUSD,348460,2024-07-16 08:36:00
TXN-F92D8B73,2186.74,EUR,CUST-2275,2024-06-09 18:27:00,failed,ADYEN-595453,MerchantAccountUSD,218673,2024-06-10 18:27:00
TXN-F666C8E7,2438.3,USD,CUST-1744,2024-04-22 12:38:00,settled,ADYEN-840192,MerchantAccountUSD,243830,2024-04-23 12:38:00
TXN-762EE01F,1370.28,USD,CUST-1660,2024-06-22 16:14:00,settled,ADYEN-411113,MerchantAccountUSD,137028,2024-06-23 16:14:00
TXN-6031AC0F,597.5,USD,CUST-2741,2024-09-11 06:38:00,settled,ADYEN-731165,MerchantAccountUSD,59750,2024-09-12 06:38:00
TXN-006DC957,1731.8,GBP,CUST-3527,2024-07-20 01:39:00,refunded,ADYEN-769527,MerchantAccountUSD,173180,2024-07-21 01:39:00
TXN-B8E286CE,405.95,USD,CUST-4287,2024-02-11 15:20:00,settled,ADYEN-182081,MerchantAccountUSD,40595,2024-02-12 15:20:00
TXN-247FA2BF,2504.85,EUR,CUST-3574,2024-10-17 06:11:00,failed,ADYEN-184755,MerchantAccountUSD,250485,2024-10-18 06:11:00
TXN-93627F83,289.07,GBP,CUST-7139,2024-12-24 03:20:00,failed,ADYEN-336822,MerchantAccountUSD,28907,2024-12-25 03:20:00
TXN-9A3365E0,2825.95,USD,CUST-7439,2024-07-16 23:38:00,failed,ADYEN-733322,MerchantAccountUSD,282595,2024-07-17 23:38:00
TXN-4C0B25E9,3595.93,USD,CUST-5598,2024-02-26 03:49:00,refunded,ADYEN-262964,MerchantAccountUSD,359593,2024-02-27 03:49:00
TXN-AAFA156F,1004.27,GBP,CUST-2735,2024-07-13 04:57:00,settled,ADYEN-664716,MerchantAccountUSD,100427,2024-07-14 04:57:00
TXN-A15B03DB,3541.53,USD,CUST-2451,2024-09-27 21:22:00,refunded,ADYEN-241029,MerchantAccountUSD,354153,2024-09-28 21:22:00
TXN-23C2CBD3,4033.53,USD,CUST-9253,2024-12-04 08:30:00,failed,ADYEN-305837,MerchantAccountUSD,403353,2024-12-05 08:30:00
TXN-35135231,4536.84,GBP,CUST-1297,2024-05-19 22:55:00,failed,ADYEN-531473,MerchantAccountUSD,453684,2024-05-20 22:55:00
TXN-11482CC7,3161.87,GBP,CUST-1038,2024-02-16 21:56:00,settled,ADYEN-707986,MerchantAccountUSD,316187,2024-02-17 21:56:00
TXN-5CC662A1,1731.26,EUR,CUST-8434,2024-06-26 22:09:00,settled,ADYEN-543058,MerchantAccountUSD,173126,2024-06-27 22:09:00
TXN-467D35BE,3019.23,USD,CUST-2516,2024-08-10 01:36:00,failed,ADYEN-885011,MerchantAccountUSD,301923,2024-08-11 01:36:00
TXN-00E27F4D,4852.74,GBP,CUST-9119,2024-08-22 00:03:00,refunded,ADYEN-427307,MerchantAccountUSD,485274,2024-08-23 00:03:00
TXN-6BA7C947,1186.05,EUR,CUST-7493,2024-10-28 06:25:00,refunded,ADYEN-753480,MerchantAccountUSD,118605,2024-10-29 06:25:00
TXN-570628F2,1063.84,USD,CUST-9267,2024-03-27 03:23:00,settled,ADYEN-351177,MerchantAccountUSD,106383,2024-03-28 03:23:00
TXN-0E362D54,1769.17,USD,CUST-7456,2024-06-18 20:58:00,refunded,ADYEN-672557,MerchantAccountUSD,176917,2024-06-19 20:58:00
TXN-187F86CD,3059.9,EUR,CUST-8844,2024-12-03 09:24:00,refunded,ADYEN-980985,MerchantAccountUSD,305990,2024-12-04 09:24:00
TXN-78634873,665.75,USD,CUST-2809,2024-06-12 17:37:00,settled,ADYEN-254953,MerchantAccountUSD,66575,2024-06-13 17:37:00
TXN-E30E56B9,2747.58,EUR,CUST-2346,2024-02-28 00:07:00,failed,ADYEN-910703,MerchantAccountUSD,274758,2024-02-29 00:07:00
TXN-CB445108,1163.53,EUR,CUST-9331,2024-12-29 03:57:00,settled,ADYEN-553663,MerchantAccountUSD,116353,2024-12-30 03:57:00
TXN-890238A1,4967.17,USD,CUST-3057,2024-04-30 10:55:00,settled,ADYEN-688215,MerchantAccountUSD,496717,2024-05-01 10:55:00
TXN-73CE64D3,199.05,USD,CUST-1889,2024-04-01 08:35:00,settled,ADYEN-335157,MerchantAccountUSD,19905,2024-04-02 08:35:00
TXN-330FA906,2213.68,GBP,CUST-7872,2024-10-15 16:47:00,settled,ADYEN-191805,MerchantAccountUSD,221367,2024-10-16 16:47:00
TXN-EEA70DA8,3424.97,USD,CUST-1372,2024-11-03 20:24:00,failed,ADYEN-350175,MerchantAccountUSD,342497,2024-11-04 20:24:00
TXN-13A7473E,779.02,EUR,CUST-1143,2024-09-17 00:47:00,refunded,ADYEN-675475,MerchantAccountUSD,77902,2024-09-18 00:47:00
TXN-BEDA2DA3,1299.4,USD,CUST-3883,2024-11-25 01:46:00,refunded,ADYEN-114561,MerchantAccountUSD,129940,2024-11-26 01:46:00
TXN-6E6A5999,4095.05,USD,CUST-9790,2024-09-04 04:11:00,settled,ADYEN-821114,MerchantAccountUSD,409505,2024-09-05 04:11:00
TXN-4172CF92,1210.21,EUR,CUST-9029,2024-05-23 10:49:00,refunded,ADYEN-120209,MerchantAccountUSD,121021,2024-05-24 10:49:00
TXN-2F00FB42,4212.64,USD,CUST-2918,2024-04-06 10:10:00,settled,ADYEN-848953,MerchantAccountUSD,421264,2024-04-07 10:10:00
TXN-A0EAD6EC,3241.35,USD,CUST-6081,2024-03-24 05:52:00,refunded,ADYEN-818473,MerchantAccountUSD,324135,2024-03-25 05:52:00
TXN-30094E66,1388.26,EUR,CUST-3007,2024-12-02 23:56:00,settled,ADYEN-328699,MerchantAccountUSD,138826,2024-12-03 23:56:00
TXN-0250D0BB,432.44,USD,CUST-9303,2024-05-25 22:29:00,settled,ADYEN-361874,MerchantAccountUSD,43244,2024-05-26 22:29:00
TXN-2D2B15C8,3712.95,USD,CUST-9695,2024-07-01 17:40:00,refunded,ADYEN-689386,MerchantAccountUSD,371295,2024-07-02 17:40:00
TXN-960C01E3,4146.76,GBP,CUST-9230,2024-02-23 20:58:00,refunded,ADYEN-307308,MerchantAccountUSD,414676,2024-02-24 20:58:00
TXN-4C72E70D,2088.26,USD,CUST-9309,2024-05-19 11:14:00,settled,ADYEN-970943,MerchantAccountUSD,208826,2024-05-20 11:14:00
TXN-76535A77,2342.39,USD,CUST-9621,2024-08-09 21:17:00,settled,ADYEN-346595,MerchantAccountUSD,234239,2024-08-10 21:17:00
TXN-5516D720,179.01,USD,CUST-7520,2024-10-10 16:18:00,settled,ADYEN-554779,MerchantAccountUSD,17901,2024-10-11 16:18:00
TXN-68226169,4112.47,GBP,CUST-3174,2024-04-15 23:02:00,refunded,ADYEN-885966,MerchantAccountUSD,411247,2024-04-16 23:02:00
TXN-E4FA50EC,4724.26,USD,CUST-4049,2024-08-29 04:33:00,refunded,ADYEN-578136,MerchantAccountUSD,472426,2024-08-30 04:33:00
TXN-EADBD09C,1778.82,USD,CUST-3043,2024-08-17 09:36:00,settled,ADYEN-883478,MerchantAccountUSD,177882,2024-08-18 09:36:00
TXN-E121214B,2381.92,USD,CUST-8842,2024-08-24 05:18:00,settled,ADYEN-904135,MerchantAccountUSD,238192,2024-08-25 05:18:00
TXN-9D0A60F3,429.35,USD,CUST-6162,2024-12-20 19:50:00,settled,ADYEN-974199,MerchantAccountUSD,42935,2024-12-21 19:50:00
TXN-C5B682BE,3559.62,EUR,CUST-8235,2024-09-07 22:50:00,settled,ADYEN-308379,MerchantAccountUSD,355962,2024-09-08 22:50:00
TXN-88389DD4,4129.37,GBP,CUST-5346,2024-02-15 23:03:00,settled,ADYEN-837134,MerchantAccountUSD,412937,2024-02-16 23:03:00
TXN-8D3D4EC8,1873.64,GBP,CUST-8163,2024-01-17 16:55:00,settled,ADYEN-524239,MerchantAccountUSD,187364,2024-01-18 16:55:00
TXN-508731C6,21.75,USD,CUST-9432,2024-07-02 09:46:00,settled,ADYEN-173566,MerchantAccountUSD,2175,2024-07-03 09:46:00
TXN-C1B24965,4074.77,GBP,CUST-3051,2024-06-10 12:42:00,failed,ADYEN-413708,MerchantAccountUSD,407477,2024-06-11 12:42:00
TXN-9BC79DF7,3113.53,USD,CUST-4667,2024-09-30 10:41:00,settled,ADYEN-854361,MerchantAccountUSD,311353,2024-10-01 10:41:00
TXN-3302498C,2912.56,USD,CUST-1284,2024-06-17 00:54:00,refunded,ADYEN-165498,MerchantAccountUSD,291256,2024-06-18 00:54:00
TXN-C7CDFEDE,2228.44,USD,CUST-1324,2024-05-23 21:58:00,settled,ADYEN-397644,MerchantAccountUSD,222844,2024-05-24 21:58:00
TXN-1A86D79F,3054.12,EUR,CUST-1012,2024-03-08 09:15:00,refunded,ADYEN-623183,MerchantAccountUSD,305412,2024-03-09 09:15:00
TXN-EF6A9BB3,1958.27,GBP,CUST-9736,2024-10-25 06:45:00,failed,ADYEN-805924,MerchantAccountUSD,195827,2024-10-26 06:45:00
TXN-86ADE683,1860.25,USD,CUST-6467,2024-06-30 23:20:00,refunded,ADYEN-534161,MerchantAccountUSD,186025,2024-07-01 23:20:00
TXN-0A8EBBC6,218.58,EUR,CUST-3111,2024-12-05 22:14:00,settled,ADYEN-180263,MerchantAccountUSD,21858,2024-12-06 22:14:00
TXN-2C6CB8D5,4880.33,EUR,CUST-4730,2024-02-06 21:13:00,settled,ADYEN-735256,MerchantAccountUSD,488033,2024-02-07 21:13:00
TXN-A2EA90B7,3982.97,EUR,CUST-2416,2024-12-11 12:37:00,settled,ADYEN-402567,MerchantAccountUSD,398297,2024-12-12 12:37:00
TXN-56DACD60,1494.37,USD,CUST-2967,2024-06-03 04:16:00,refunded,ADYEN-482523,MerchantAccountUSD,149437,2024-06-04 04:16:00
TXN-708808F1,4798.91,USD,CUST-8711,2024-09-03 20:40:00,settled,ADYEN-541037,MerchantAccountUSD,479891,2024-09-04 20:40:00
TXN-EE184A12,2135.02,EUR,CUST-9437,2024-11-21 01:39:00,refunded,ADYEN-191469,MerchantAccountUSD,213502,2024-11-22 01:39:00
TXN-C8A0BE64,4743.95,USD,CUST-7761,2024-07-04 10:46:00,refunded,ADYEN-802144,MerchantAccountUSD,474395,2024-07-05 10:46:00
TXN-6B85550A,552.39,EUR,CUST-8198,2024-03-23 04:22:00,refunded,ADYEN-855011,MerchantAccountUSD,55239,2024-03-24 04:22:00
TXN-1F174DDB,2112.64,USD,CUST-8139,2024-11-04 09:32:00,settled,ADYEN-435087,MerchantAccountUSD,211264,2024-11-05 09:32:00
TXN-481E6C60,4388.7,USD,CUST-6481,2024-04-21 02:53:00,settled,ADYEN-661970,MerchantAccountUSD,438870,2024-04-22 02:53:00
TXN-FE84057A,1522.05,USD,CUST-3154,2024-11-03 19:02:00,refunded,ADYEN-212919,MerchantAccountUSD,152205,2024-11-04 19:02:00
TXN-476DCCAB,1419.0,USD,CUST-9978,2024-07-20 03:08:00,settled,ADYEN-629660,MerchantAccountUSD,141900,2024-07-21 03:08:00
TXN-D79722C3,1481.71,USD,CUST-5888,2024-01-31 22:42:00,settled,ADYEN-216609,MerchantAccountUSD,148171,2024-02-01 22:42:00
TXN-668995CA,4033.29,USD,CUST-8486,2024-12-23 12:46:00,settled,ADYEN-776551,MerchantAccountUSD,403329,2024-12-24 12:46:00
TXN-BC1F5D00,3534.26,USD,CUST-1525,2024-03-16 08:11:00,refunded,ADYEN-178396,MerchantAccountUSD,353426,2024-03-17 08:11:00
TXN-0B270250,1960.09,EUR,CUST-1359,2024-07-30 02:31:00,settled,ADYEN-112254,MerchantAccountUSD,196009,2024-07-31 02:31:00
TXN-F964A7E2,652.1,USD,CUST-7941,2024-07-01 16:22:00,failed,ADYEN-517327,MerchantAccountUSD,65210,2024-07-02 16:22:00
TXN-6FD9740E,1549.46,USD,CUST-9834,2024-04-23 09:35:00,refunded,ADYEN-833433,MerchantAccountUSD,154946,2024-04-24 09:35:00
TXN-97352287,4576.7,USD,CUST-1229,2024-03-23 20:05:00,refunded,ADYEN-739155,MerchantAccountUSD,457670,2024-03-24 20:05:00
TXN-1B6FFBB5,3426.71,USD,CUST-7112,2024-12-10 21:17:00,settled,ADYEN-731635,MerchantAccountUSD,342671,2024-12-11 21:17:00
TXN-D8AE7EB2,763.68,USD,CUST-4555,2024-02-18 00:25:00,refunded,ADYEN-402469,MerchantAccountUSD,76368,2024-02-19 00:25:00
TXN-61A90A6C,2446.37,USD,CUST-1303,2024-12-23 20:09:00,failed,ADYEN-793593,MerchantAccountUSD,244637,2024-12-24 20:09:00
TXN-19E34993,1645.09,USD,CUST-2379,2024-09-11 05:28:00,settled,ADYEN-258468,MerchantAccountUSD,164509,2024-09-12 05:28:00
TXN-5331C7B6,3953.63,USD,CUST-2468,2024-11-30 17:27:00,refunded,ADYEN-937548,MerchantAccountUSD,395363,2024-12-01 17:27:00
TXN-CB9F9938,1226.86,USD,CUST-4027,2024-09-19 01:38:00,settled,ADYEN-931696,MerchantAccountUSD,122685,2024-09-20 01:38:00
TXN-DC44D8E9,4272.52,USD,CUST-4844,2024-12-04 08:47:00,settled,ADYEN-706606,MerchantAccountUSD,427252,2024-12-05 08:47:00
TXN-7E57ED69,38.99,USD,CUST-2813,2024-04-07 09:02:00,settled,ADYEN-293345,MerchantAccountUSD,3899,2024-04-08 09:02:00
TXN-CF15091B,4299.65,USD,CUST-7258,2024-05-11 02:07:00,settled,ADYEN-272104,MerchantAccountUSD,429964,2024-05-12 02:07:00
TXN-D1E5173D,4720.5,GBP,CUST-6566,2024-03-14 04:35:00,refunded,ADYEN-347416,MerchantAccountUSD,472050,2024-03-15 04:35:00
